SMPDB_ID	HMDB_ID
PW_C001491	HMDB0002206
PW_C006750	HMDB0011107
PW_C001428	HMDB0002123
PW_C006746	HMDB0011103
PW_C001328	HMDB0001982
PW_C001022	HMDB0001325
PW_C001098	HMDB0001422
PW_C000544	HMDB0000692
PW_C001037	HMDB0001345
PW_C000899	HMDB0001161
PW_C000044	HMDB0000062
PW_C000031	HMDB0000044
PW_C000103	HMDB0000158
PW_C000627	HMDB0000787
PW_C000117	HMDB0000181
PW_C000027	HMDB0000038
PW_C000052	HMDB0000073
PW_C000142	HMDB0000216
PW_C000977	HMDB0001264
PW_C008525	HMDB0013636
PW_C000048	HMDB0000068
PW_C000789	HMDB0000996
PW_C001085	HMDB0001405
PW_C000162	HMDB0000240
PW_C001827	HMDB0003276
PW_C001056	HMDB0001368
PW_C001399	HMDB0002084
PW_C001122	HMDB0001453
PW_C001431	HMDB0002127
PW_C001864	HMDB0003374
PW_C002698	HMDB0006272
PW_C001880	HMDB0003416
PW_C002094	HMDB0004225
PW_C001457	HMDB0002168
PW_C000070	HMDB0000108
PW_C000784	HMDB0000990
PW_C002007	HMDB0003943
PW_C002006	HMDB0003942
PW_C002008	HMDB0003944
PW_C001719	HMDB0002845
PW_C002005	HMDB0003941
PW_C002004	HMDB0003940
PW_C002013	HMDB0003949
PW_C000845	HMDB0001070
PW_C002003	HMDB0003939
PW_C002002	HMDB0003938
PW_C002012	HMDB0003948
PW_C002742	HMDB0006404
PW_C002001	HMDB0003937
PW_C002000	HMDB0003936
PW_C001959	HMDB0003712
PW_C001928	HMDB0003571
PW_C001999	HMDB0003935
PW_C001998	HMDB0003934
PW_C002010	HMDB0003946
PW_C001171	HMDB0001521
PW_C002740	HMDB0006402
PW_C001996	HMDB0003932
PW_C002009	HMDB0003945
PW_C001031	HMDB0001338
PW_C000145	HMDB0000220
PW_C000147	HMDB0000222
PW_C001032	HMDB0001339
PW_C000831	HMDB0001056
PW_C000076	HMDB0000121
PW_C000092	HMDB0000142
PW_C000774	HMDB0000972
PW_C001199	HMDB0001562
PW_C001903	HMDB0003470
PW_C001045	HMDB0001354
PW_C001179	HMDB0001534
PW_C002954	HMDB0006825
PW_C002955	HMDB0006826
PW_C000168	HMDB0000247
PW_C001851	HMDB0003345
PW_C002935	HMDB0006800
PW_C000848	HMDB0001078
PW_C000111	HMDB0000169
PW_C002722	HMDB0006330
PW_C000833	HMDB0001058
PW_C000901	HMDB0001163
PW_C001134	HMDB0001473
PW_C000869	HMDB0001112
PW_C001038	HMDB0001346
PW_C000861	HMDB0001095
PW_C000978	HMDB0001265
PW_C000113	HMDB0000174
PW_C000847	HMDB0001076
PW_C000828	HMDB0001051
PW_C000825	HMDB0001047
PW_C000081	HMDB0000126
PW_C000983	HMDB0001270
PW_C001860	HMDB0003364
PW_C001632	HMDB0002434
PW_C000067	HMDB0000099
PW_C000006	HMDB0000011
PW_C001212	HMDB0001659
PW_C000189	HMDB0000279
PW_C000976	HMDB0001263
PW_C000390	HMDB0000510
PW_C000150	HMDB0000225
PW_C007691	HMDB0012130
PW_C000567	HMDB0000716
PW_C000592	HMDB0000744
PW_C001083	HMDB0001401
PW_C001207	HMDB0001586
PW_C000193	HMDB0000286
PW_C000746	HMDB0000935
PW_C000805	HMDB0001018
PW_C000206	HMDB0000302
PW_C000504	HMDB0000645
PW_C009794	HMDB0015531
PW_C000093	HMDB0000143
PW_C001887	HMDB0003426
PW_C001750	HMDB0002991
PW_C000804	HMDB0001016
PW_C000064	HMDB0000095
PW_C000872	HMDB0001117
PW_C001093	HMDB0001416
PW_C002959	HMDB0006834
PW_C001061	HMDB0001373
PW_C002097	HMDB0004231
PW_C000135	HMDB0000209
PW_C002778	HMDB0006503
PW_C002728	HMDB0006344
PW_C000841	HMDB0001066
PW_C000905	HMDB0001167
PW_C001010	HMDB0001311
PW_C001973	HMDB0003826
PW_C002109	HMDB0004256
PW_C000165	HMDB0000244
PW_C001957	HMDB0003701
PW_C000158	HMDB0000235
PW_C001679	HMDB0002666
PW_C001165	HMDB0001512
PW_C000783	HMDB0000988
PW_C001092	HMDB0001414
PW_C000910	HMDB0001173
PW_C000971	HMDB0001257
PW_C000970	HMDB0001256
PW_C040676	HMDB0061359
PW_C000771	HMDB0000965
PW_C001701	HMDB0002757
PW_C000171	HMDB0000251
PW_C002088	HMDB0004195
PW_C000382	HMDB0000500
PW_C007741	HMDB0012188
PW_C002945	HMDB0006816
PW_C000838	HMDB0001063
PW_C000777	HMDB0000977
PW_C002946	HMDB0006817
PW_C002947	HMDB0006818
PW_C002948	HMDB0006819
PW_C002949	HMDB0006820
PW_C008133	HMDB0012943
PW_C017005	HMDB0036062
PW_C001118	HMDB0001448
PW_C001004	HMDB0001302
PW_C000793	HMDB0001003
PW_C000886	HMDB0001134
PW_C000094	HMDB0000145
PW_C000043	HMDB0000061
PW_C001101	HMDB0001425
PW_C000153	HMDB0000228
PW_C040399	HMDB0060015
PW_C000655	HMDB0000820
PW_C040706	HMDB0061375
PW_C000489	HMDB0000629
PW_C000510	HMDB0000652
PW_C000639	HMDB0000801
PW_C001049	HMDB0001359
PW_C000999	HMDB0001295
PW_C001309	HMDB0001958
PW_C001883	HMDB0003419
PW_C000635	HMDB0000795
PW_C000988	HMDB0001275
PW_C000960	HMDB0001243
PW_C000104	HMDB0000159
PW_C000131	HMDB0000205
PW_C040095	HMDB0059658
PW_C001541	HMDB0002281
PW_C000558	HMDB0000707
PW_C000084	HMDB0000130
PW_C001376	HMDB0002052
PW_C000981	HMDB0001268
PW_C000693	HMDB0000870
PW_C000717	HMDB0000898
PW_C002083	HMDB0004181
PW_C001712	HMDB0002820
PW_C001992	HMDB0003905
PW_C001357	HMDB0002024
PW_C000802	HMDB0001014
PW_C000680	HMDB0000854
PW_C000001	HMDB0000001
PW_C001162	HMDB0001509
PW_C002644	HMDB0006059
PW_C000853	HMDB0001085
PW_C001030	HMDB0001337
PW_C002098	HMDB0004234
PW_C000933	HMDB0001198
PW_C001775	HMDB0003080
PW_C040450	HMDB0061111
PW_C002106	HMDB0004244
PW_C001986	HMDB0003876
PW_C002100	HMDB0004238
PW_C002398	HMDB0005079
PW_C001726	HMDB0002886
PW_C002103	HMDB0004241
PW_C006773	HMDB0011134
PW_C006229	HMDB0010217
PW_C001687	HMDB0002710
PW_C001028	HMDB0001335
PW_C001084	HMDB0001403
